Metin,Etiket
"Dış sensör ağının ana modülü rüzgar yüküne dayanamayarak imha olmuştur. Tesisatın baştan beri zayıf kurgulanmış olması bu sonucu doğurdu. Cihaz enkazını toplamak için dışarı çıkılması mantıksızdır. Karargaha iletilecek meteorolojik veriler durdurulmuş olup, donanım yenilenene kadar inisiyatif alınmayacaktır.",2
"Palet bakımı ve gergi ayarları saha teknisyenliği kılavuzuna uygun şekilde icra edildi. Navigasyon modüllerindeki yazılım sürümü kontrol edilerek güncel tutulduğu doğrulandı. Bir sonraki intikal için motor bloğu ısıtıcıları aktif hale getirildi ve hazır kıta bekletiliyor.",0
"Çatıdaki anemometre buz tuttu. Isıtıcı kabloların zayıflığı başından beri bilindiği halde değişim yapılmaması rüzgar ölçümünü engelliyor. Beklemedeyiz.",1
"Her sabah yapılan barometrik basınç doğrulama formu işlevsiz bir evrak küreğidir. Cihaz zaten otonom kayıt tutuyor. Çift dikiş veri girişi tarafımca reddedilerek sistem otomasyona bırakıldı.",2
"Eksi 80 dolabında yaşanan güç dalgalanması UPS devresiyle tolere edildi. Numune saklama prosedüründe herhangi bir bozulma veya kontaminasyon oluşmadı.",0
"VHF telsiz parazitlenme testleri gereğinden uzun sürüyor. Ana frekanslardaki gürültüyü manuel filtrelemek, diğer saha destek görevlerime ayrılan zamanı kısıtlamakta. Rutin kontroller tıkanıklık yaratıyor.",1
"Katabatik rüzgarın taşıdığı buz parçaları in-situ spektrometre dış ünitesini parçalamıştır. Projenin yapısal eksiklikleri ortadayken donanımı korumaya çalışmak anlamsız bir çabaydı. Olayın raporlaması yapılmış olup, arıza tespiti için ekstra bir efor sarf edilmeyecektir. Cihaz kullanımdan kaldırıldı.",2
"Telsiz operatörlüğü vardiyasında kriptolu veri akışı sorunsuz sağlandı. Uydu bant genişliği optimizasyonu yapılarak günlük telemetri dosyaları eksiksiz biçimde karargah sunucularına iletilmiştir.",0
"Jeneratör manifold tapasının atması sonucu makine dairesine antifriz sızdı. Kullanılan malzemenin eksi elli derece uyumluluğu konusundaki raporlarımın hiçe sayılması bu arızalara zemin hazırlıyor. Sızıntıyı temizlemek ve parçayı uydurma yöntemlerle onarmak asli işlerimden alıkoymakta.",1
"Dizel yakıt transferi onay formu gereksiz teferruat içeriyor. Operasyonel hızımı kesen bu bürokratik adımı atlıyorum. Yakıt aktarıldı, form doldurulmadı.",2
"Anten kulesindeki gergi halatlarından biri koptu. İki personel emniyet kemeri donanımıyla müdahale ederek yedek halatı sabitledi. Kule stabilitesi rüzgar şiddetine rağmen korundu.",0
"Buz karotu numunelerinin eksi 80 dolabından transferi sırasında paketleme protokolü aşırı detaylı kurgulanmış. Zaten steril olan ortamda fazladan üç katmanlı mühürleme yapmak, laboratuvar içindeki hareket kabiliyetimizi sınırlıyor. Standart işler uzadıkça konsantrasyon kaybı yaşamaktayım.",1
"Kar motorunun yakıt pompası dondu. Cihazın tasarımı bu iklime uygun değil. Müdahale etmek sonuç vermeyeceğinden motor saha kenarına terk edildi.",2
"Günlük albedo ölçümleri meteoroloji protokollerine uygun şekilde kaydedildi. Veri sensörü okumaları ile manuel karşılaştırmalar tutarlı.",0
"Radyosonde fırlatma rampasının motoru yandı. Bütçe kısıtlamaları yüzünden eski nesil motor kullanılması bu sonucun asıl mimarıdır. Yeni ölçüm yapılamıyor, manuel fırlatma riskli ve yorucu.",1
"Laboratuvar sterilizasyon cihazının günlük test döngüsü sadece cihazın ömrünü kısaltan işgüzar bir kuraldır. Her kullanım öncesi bu döngüyü çalıştırmayı operasyonel mantıksızlık olarak görüyor ve iptal ediyorum.",2
"Dış istasyon telemetri hattında kopukluk tespit edildi. Yeraltı kablo kanalında buzlanma saptandı. Termal matkap yardımıyla hat açılarak yeni koaksiyel kablo çekildi. İletişim ağı iki saatlik kesinti sonrası tekrar tam kapasite devreye alınmıştır.",0
"Kriptolu veri paketleme yazılımının arayüzü çok hantal. Her gün aynı protokolleri girmek zihinsel yorgunluk yaratıyor. Dosya aktarımı vaktimi çalıyor.",1
"Ana şebeke yükü dalgalanması sonucu UPS bataryaları iflas etti. Yedekleme sisteminin zayıf tasarımı en başından belliydi. Arızalı bataryaları sökmek veya sisteme yama yapmak için çaba harcamayacağım. Elektrik kesintilerinin sorumluluğu donanım seçimini yapanlara aittir.",2
"Erzak sayımı ve depo termal yalıtım izolasyon kontrolleri periyodik düzende tamamlanmıştır. Soğuk zincirde kırılma yok. Konserve stokları güncel envanter listesiyle eşleştirildi.",0
"Uydu bant genişliğinde yaşanan düşüş, merkezle olan bağlantıyı zayıflattı. Tahsis edilen frekans aralığının darlığı konusunda yaptığım itirazların sonuçsuz kalması, veri iletimini çileye dönüştürüyor.",1
"Telsiz anteninin günlük kar kürüme işi anlamsız bir rutindir. Cihaz zaten sinyal almıyor. Kürek çekmek için dışarı çıkmayı reddediyorum.",2
"PCR cihazında reaktif sızıntısı gözlemlendi. Protokol gereği laboratuvar havalandırması negatif basınca alınarak sızıntı kaynağı izole edildi. Yüzeyler dekontaminasyon sıvılarıyla temizlendi. Herhangi bir personel maruziyeti yaşanmadan ortam güvenliği tekrar tesis edilmiştir.",0
"Kar motoru (skidoo) GPS navigasyon modülü güncellemeleri çok yavaş yükleniyor. Bağlantı hızının düşüklüğü yüzünden saatlerce ekran başında beklemek diğer rutinlerimi sekteye uğratmakta.",1
"Çatıdaki anemometre şiddetli rüzgarda yerinden koptu. Cihazın montaj aparatları zaten kalitesizdi. Yeni bir modül takmak rüzgarda riske girmeye değmez. Kayıt tutulmayacak.",2
"Kışlık teçhizatların termal yalıtım performansları test edilmiştir. Ekipmanlarda yıpranma tespit edilmedi. Tüm tulumlar saha görevlerine hazırdır.",0
"VHF telsiz röle istasyonunda batarya çöküşü yaşandı. Gönderilen yedek pillerin düşük miliamper değerli olması, fırtına altında mütemadiyen batarya değiştirmemizi gerektiriyor. Lojistik hataların faturasını sahada fiziksel yıpranmayla ödüyoruz. İletişim kalitesi giderek düşmekte.",1
"Yakıt manifoldu günlük basınç kontrolü, sistem zaten stabil çalışırken yapılan boş bir hamledir. Sensörlerin görevini manuel teyit etmek angaryadır. Bugünkü kontrol pas geçildi.",2
"Dış jeneratör modülünde donma belirtisi üzerine antifriz derişimi artırıldı. Motor bloğu sıcaklığı normal seviyelere çekilerek dalgalanma önlendi.",0
"Barometrik basınç verilerinin kağıt logbooklara aktarılması devri geçmiş bir uygulamadır. Dijital sistem varken manuel yazı yazmak zaman israfından başka bir şey değil. Bu ikili kayıt zorunluluğu, asıl odaklanmam gereken veri analizi süreçlerini baltalıyor.",1
"Eksi 80 dolabının ana soğutma kompresörü kilitlendi. Onarım için gerekli olan tork anahtarı setinin noksanlığı sebebiyle donanıma müdahale edilemiyor. Biyolojik numunelerin erimesi kaçınılmazdır. Donanım planlamasındaki ciddiyetsizlik nedeniyle tarafımca yapılabilecek bir işlem kalmamıştır.",2
"Antarktika mikrobiyolojisi üzerine toplanan karot numuneleri barkodlandı. UV sterilizasyon lambalarının rutin değişimi yapıldı. Laboratuvar ortamı bir sonraki günün test takvimine hazırlandı.",0
"Albedo sensörlerinin üzeri buzla kaplandı. Koruyucu muhafazaların yetersizliği yüzünden devamlı aynı cihazı temizlemekten bıktım. Veri akışı şimdilik durduruldu.",1
"HF telsiz modülünde aşırı yükleme kaynaklı kısa devre meydana geldi. Kriptolu veri iletimi durdu. Yedek anakart ünitesi lehimlenerek değiştirildi ve anten kulesi kalibrasyonu sonrası telemetri akışı yeniden sağlandı. Risk sıfırlandı.",0
"Skidoo palet bakımı esnasında kauçuk dişlilerin kontrolü hedeflenen süreyi aşıyor. Yetersiz aydınlatmalı garajda bu rutin prosedürü uygulamak görsel odağımı bozuyor. Diğer saha ön hazırlıkları bu yüzden aksamakta.",1
"Katabatik rüzgar jeneratör dairesinin termal yalıtım sacını şiddetli bir darbeyle uçurmuştur. Altyapı malzemesi baştan hatalı seçildiği için fırtına sezonunda bu hasarın yaşanması kaçınılmaz bir mühendislik fiyaskosudur. Dışarı çıkılıp tehlike altında geçici onarım yapılması prosedür gereği tarafımca reddedilmiş olup, iç sıcaklık düşüşü ve manifold donma riski pasif şekilde izlenmektedir.",2
"Erzak sayımı ve taze gıda simülasyon envanteri güncellendi. Depo nem oranı ideal aralıkta. Bozulma veya kontaminasyon riski yok.",0
"Eksi 80 dolabının kompresör valfi çatladı. Başından beri yüksek basınç uyarısı veren bu sisteme yedek parça gönderilmemesi, numune saklama sürecini krize dönüştürdü. Manuel buz takviyesiyle uğraşmaktan fiziki tükenmişlik yaşanıyor.",1
"Günlük anemometre buz kırma işlemi güvenlik riski gerekçesiyle durdurulmuştur. Çatıdaki buzlanmayı her sabah temizlemek operasyonel verimliliğe aykırıdır. Veri sensörü okumaları iptal edildi.",2
"Radyosonde balonunun gaz valfinde sızıntı tespit edildi. Fırlatma öncesi basınç düşüşü fark edilerek yedek helyum tüpü hatta bağlandı. Barometrik okumalar gecikmesiz olarak sisteme işlendi. Sorun giderilmiştir.",0
"PCR cihazı sterilizasyon döngüsü beklenen sürenin iki katına çıkıyor. Cihazın yazılım güncellemelerinin merkezden yapılmaması, her analiz öncesi ekran başında vakit kaybetmeme neden oluyor. Biyolojik incelemeler sarkıyor.",1
"Uydu bant genişliği sinyal zayıflaması sebebiyle çöktü. Altyapının bu fırtınaları kaldıramayacağı raporlanmıştı. İletişim kopukluğu için manuel yönlendirme yapmayacağım, frekansın kendiliğinden oturması beklenecektir.",2
"Yakıt transferi pompalarının haftalık kalibrasyonu yapıldı. Manifold filtreleri temizlendi. Sistemdeki voltaj dalgalanması eşik değerin altında.",0
"İn-situ spektrometre optik okuyucusu gece yaşanan ani sıcaklık düşüşünde donarak tamamen çatladı. En başından beri termal ısıtıcısız modelin sahaya gönderilmesi büyük bir tedarik hatasıydı ve şimdi bu hatanın bedelini eksi elli derecede cihaz parçalarını toplamaya çalışarak ödüyoruz. Veri akışı geri dönüşsüz şekilde durdu ve donanımı kurtaracak hiçbir laboratuvar imkanı bulunmuyor.",1
"Kışlık teçhizat fermuar ve dikiş kontrolleri angaryadır. Hasar kaydı olmayan malzemeleri her hafta incelemek zaman kaybı. Kontrol listesi onayım dahilinde boş geçilmiştir.",2
"Ana şebeke yükü aşımı nedeniyle faz koruma röleleri aşırı ısınarak yandı ve tesisat otomatik olarak acil durum aydınlatmasına geçti. Jeneratör dairesindeki yoğun duman tahliye edildikten sonra, yedek röle montajı karanlıkta ve kısıtlı teçhizatla tamamlanarak dizel alternatör tekrar ana şebekeye bağlanmıştır. An itibarıyla güç akışı stabilizasyona kavuşmuş olup tehlike atlatıldı.",0
"Buz karotu numunelerinin etiketlerinin yenilenmesi gereksiz bir iş yükü. Başlangıçta kalitesiz yapıştırıcı kullanıldığı için tüplerin üzerinden düşen etiketleri aramak, laboratuvar operasyonlarını yavaşlatıyor.",1
"Navigasyon (GPS) uydu kilidi fırtına yüzünden koptu. Saha ekibi rotasını kaybetti. Koordinat vericilerinin ucuz versiyonlarının tercih edilmesi bu sonucu doğurdu. Arama kurtarma prosedürü başlatmak yerine hava açana kadar beklemeleri kararlaştırıldı.",2
"VHF telsiz batarya voltajları ölçüldü. Parazitlenme oranları kayıt altına alındı. Haberleşme donanımı operasyonel sınırların içinde görev yapıyor.",0
"Kar motoru yakıt hortumu katabatik soğukta kırıldı. İzolasyonu zayıf malzemenin bu şartlarda test edilmeden yollanması intikali durdurdu. Donmuş yakıtı temizlemek diğer lojistik görevlerimi engelliyor.",1
"Laboratuvar zemin sterilizasyon solüsyonu hazırlama rutini pas geçildi. Ortamda açık kontaminasyon saptanmadığından kimyasal karışımla zaman kaybetmek anlamsız. Temizlik logbooka işlenmeyecek.",2
"Antifriz tankında basınç kaybına bağlı sızıntı başladı. Vanalar anında kapatılarak döküntü emici pedlerle sınırlandırıldı. Çatlak bölge epoksi ile mühürlenip sistem test edildi, basınç normal.",0
"Uydu bant genişliği optimizasyon yazılımı çok yavaş. Sadece günlük logları karargaha iletmek için ekran başında saatler harcanıyor. Veri iletim hızı düştükçe diğer teknik analizlerin takvimi kaymakta.",1
"Dizel jeneratör manifoldu aşırı ısınma kaynaklı alev aldı ve alevler çevre kablolara sıçramadan yangın söndürücülerle lokal olarak müdahale edildi. Cihazın metal yorgunluğu sebebiyle miadını doldurduğunu geçmiş raporlarda açıkça belirtmiştim. Hasar tespiti veya geçici uydurma yöntemlerle yedek üniteyi devreye alma işlemi tarafımca yapılmayacaktır. Tesis yarına kadar karanlıkta kalacak.",2
"Albedo sensörü mercek kalib. yapılmıştır. Karlı yüzey yansıma verileri referans aralıklarla uyuşuyor. Sensör ısıtıcıları devrede.",0
"Eksi 80 dolabı kapak contaları donarak yırtıldı. Silikon malzemenin kalitesizliği yüzünden numune saklama kabini yalıtımını yitiriyor. Bant ve benzeri geçici çözümlerle uğraşmak zihinsel yorgunluk yarattı.",1
"Telemetri cihazı günlük ping testi gereksiz bir işlemdir. Sistem kopukluğu yaşanmadığı sürece bağlantıyı manuel doğrulamak işgüzarlıktır. Test onayım ile iptal edildi.",2
"Şiddetli fırtına anemometre direğini 45 derece eğdi. Çelik destek halatları kullanılarak direk dikey eksene çekildi ve taban flanşı cıvatalarla güçlendirildi. Rüzgar ölçümleri devam etmektedir.",0
"Barometrik basınç sensörünün kablo jaklarını temizlemek lüzumsuzca vaktimi alıyor. Toz koruması olmayan bu cihazı her gün fırçalamak asıl işlerime odaklanmamı zorlaştırmakta.",1
"Telsiz anten kulesinin modüllerinden biri koptu. Sabitleme pimi tasarımının hatalı olduğu açıktır. Dışarı çıkıp parçayı aramak operasyonel bir intihar olacağından konu kapatılmıştır. Sinyal kısıtlı kalacak.",2
"Kar motoru palet bakımı, bujilerin kontrolü ve yakıt transferi tamamlandı. Kışlık teçhizatlar operasyon odasına dizildi. Ekip intikale hazır.",0
"İn-situ spektrometre güç kaynağında oluşan voltaj dalgalanması sebebiyle ciddi bir kısa devre meydana geldi. Anakart üzerindeki koruma rölelerinin tetiklenmemesi bariz bir donanım eksiğidir. Eksi seksen dolabının yanındaki dar alanda mikroskobik lehim yaparak bu kalitesiz anakartı kurtarmaya çalışmak affedilmez bir zaman ve efor israfına dönüştüğünden analizler askıya alındı.",1
"Erzak sayımı kapsamındaki dondurulmuş et kontrolü mantıksızdır. Sıcaklık eksi elliyken gıdanın bozulma ihtimali bulunmuyor. Depo içi envanter formu bilerek eksik bırakılmıştır.",2
"Laboratuvarda PCR cihazının güç adaptörü aşırı ısınmadan dolayı erimiş ve plastik yanığı kokusu sensörleri tetiklemiştir. Aktif bir yangın riski oluşmadan şebeke akımı derhal kesildi. Depodaki universal bir yedek adaptör kablo lehimlemesiyle modifiye edilerek cihaza entegre edilmiş, yarıda kalan genetik analiz döngüleri veri kaybı yaşanmadan kaldığı yerden sürdürülmüştür.",0
"Nem oranı loglarını merkeze aktarma arayüzü arızalanıyor. Eski yazılımla bu basit verileri göndermeye çalışmak, donanım bakımına ayırmam gereken vakti sömürüyor.",1
"Radyosonde fırlatma mekanizması buzlanma sebebiyle kilitlendi. Önleyici ısıtıcı bantların olmaması bu arızanın temel kaynağı. Sistemi manuel çözmek için uğraşılmayacak, bugünkü atmosferik ölçüm raporu girilmeyecektir.",2
"Termal yalıtım panellerinin iç yüzey nem taraması yapıldı. Terleme veya buzlanma izine rastlanmadı. İstasyon izolasyonu optimum seviyede.",0
"Dizel alternatör yakıt valfi basınç dengesizliği sebebiyle tamamen sıkıştı. İhale sürecinde düşük kalite pirinç valf kullanımının bedelini, eksi otuz derecelik motor dairesinde ellerimiz donma tehlikesi geçirerek o parçayı yerinden sökmeye çalışarak ödüyoruz. Şebeke yükü şu anda tehlikeli sınırlarda gezindiği için diğer laboratuvar faaliyetleri durdurulmak zorunda kalındı.",1
"Kriptolu veri yedekleme hard disklerinin periyodik değişimi durduruldu. Sistem halihazırda sorunsuz çalışıyor. Disk tak çıkar işlemi riskli ve manasız bir prosedürdür. Uygulanmayacak.",2
"Skidoo kar motorunun şanzıman kayışı koptu. Sahada mahsur kalma durumu yaşanmadan yedek kayış araç kiti kullanılarak takıldı. Navigasyon rotası tamamlanıp üsse güvenli dönüş sağlandı.",0
"Eksi 80 dolabı sıcaklık okumalarını manuel kağıda geçirme zorunluluğu yorucu. Dijital sensörler sorunsuz çalışırken hala kağıt formlarla uğraşmak, laboratuvar verimliliğimi ciddi ölçüde baltalamakta.",1
"VHF telsiz güç ünitesine su sızdı ve cihaz yandı. Çatı izolasyonunun yetersizliği başından beri biliniyordu. Haberleşme altyapısının çökmesi komuta kademesinin sorumluluğundadır. Müdahale edilmeyecek.",2
"Buz karotu numuneleri spektrometre analizine sokuldu. Veriler şifrelenerek server üzerine kaydedildi. Kontaminasyon protokollerine harfiyen uyuldu.",0
"Katabatik rüzgarın anlık şiddetlenmesi uydu anteni yönünü on beş derece saptırdı. Döner aksamın rüzgar direnci ve genel kalibresi düşük olduğu için fırtına anında emniyet kemeriyle çatıya çıkıp manuel anten yönlendirmesi yapmak operasyonel enerjimi tüketiyor. Telemetri verimsizleşmekte ve bu alt yapı yetersizliği ana görevlerimi yapmamı engelliyor.",1
"Günlük antifriz seviyesi kontrol formu yırtılarak atılmıştır. Cihazın kendi uyarı sistemi varken bu manuel teyit işlemi teknisyen aklıyla alay etmektir. İlgili kontrol reddedildi.",2
"Parazitlenme sebebiyle HF telsiz modülünde iletişim koptu. Frekans atlamalı modülasyon ayarlarına geçilerek sivil bant üzerinden alternatif bir kanal açıldı. Şifreli iletişim yeniden sağlandı.",0
"Jeneratör egzoz manifoldu kurum temizliği çok sık tekrar ediyor. Kalitesiz dizel yakıt kullanımı yüzünden normalin üç katı efor sarf ederek filtre fırçalamak iş gücü kaybıdır.",1
"Kar motoru üzerindeki harici navigasyon (GPS) ekranı aşırı soğuktan donup boydan boya çatlamıştır. Termal kılıf ve ısıtıcı batarya desteği sağlanmadığı için donanımın tahrip olması beklenen ve uyarılan bir durumdu. Arızalı ekran için yedek cihaz talebi yapılmayacak olup, rota güvenliği sağlanamadığı gerekçesiyle saha intikalleri tarafımca süresiz olarak durdurulmuştur.",2
"Çatıdaki anemometre ve barometrik basınç sensörlerinin buz koruyucu kılıfları temizlendi. Meteorolojik veri akışı stabil ve kesintisiz.",0
"Güney cephesindeki termal yalıtım panellerinin birleşim yerlerinden dondurucu rüzgar sızıyor. Kullanılan dolgu malzemelerinin ve yalıtım köpüğünün Antarktika iklim dinamiklerine uyumsuzluğu sezon başında karargaha raporlanmıştı. İçerideki ısıyı korumak adına çatlaklara durmaksızın silikon çekmek ve yama yapmak zorunda kalmaktan, asli mikrobiyolojik görevlerime ve analiz raporlarıma odaklanacak zamanı bulamıyorum.",1
"Palet bakımı sonrası kauçuk gerginlik testi prosedür dışına çıkılarak es geçildi. Gözle görülür bir hasar yokken gereksiz tork ölçümleri yapmak ameleliktir. Kayıtlar boş.",2
"Laboratuvar havalandırma motoru yandı. Eksi 80 dolabının atık ısısı ortamda birikti. Tavan panelleri sökülerek pasif baca sistemi kuruldu ve sıcaklık dengelendi. Kompresörler güvende.",0
"Kışlık teçhizat kar gözlüklerinin buğu önleyici spreyle silinmesi aşırı zaman alıyor. Kalitesiz lens kaplamaları yüzünden her intikal öncesi bu işlemi tekrarlamak hazırlık motivasyonunu kırıyor.",1
"VHF telsiz frekans taraması yapıldı. Kriptolu veri modülleri sorunsuz çalışıyor. Parazitlenme seviyesi kabul edilebilir düzeydedir.",0
"Biyolojik numune kaplarının barkod okuyucuya tanıtılması işlemi gereğinden fazla oyalıyor. Eski yazılım arayüzünün güncellenmemesi nedeniyle barkodlar manuel doğrulanıyor ve eksi 80 dolabı başındaki mesaim artıyor.",1
"Dizel jeneratör manifold contası basınca dayanamayarak parçalanmış ve antifriz sızıntısı makine dairesini basmıştır. Tedarik edilen contaların kış koşullarına uygunsuzluğu nedeniyle onarım inisiyatifi alınmayacaktır. Tesis geçici şebeke yüküne alınarak sistem kaderine terk edildi.",2
"Jeneratör dairesindeki ani voltaj dalgalanması sebebiyle ana dağıtım panosunda ark oluşmuş ve ufak çaplı alevlenme gözlenmiştir. Yangın tüpleriyle derhal lokal müdahale edilerek alevler söndürüldü. Kömürleşen kablolar kesilip acil durum by-pass hattı çekilerek şebeke yükü yedek alternatöre başarıyla aktarılmış olup, termal yalıtım bütünlüğü korunmuştur. Üs operasyonlarına devam ediyor.",0
"Kar motoru buji değişimi standart prosedürden daha uzun sürüyor. Garaj aydınlatmasının zayıflığı, görüş alanımı daraltıp teknik işleri zorlaştırmakta.",1
"Katabatik rüzgar öncesi kışlık teçhizat sayım formu dayatması mantık dışıdır. Malzemeler halihazırda zimmetli. Dijital kayıt sistemine fazladan manuel veri girmek reddedilerek lüzumsuz lojistik denetim pas geçildi.",2
"Çatıdaki uydu anten kulesi gergileri rüzgar şiddetine karşı düzenli olarak test edilmiştir. Telemetri ping süreleri nominal değerleri yansıtıyor. Herhangi bir bant genişliğinde daralma raporlanmadı. Sistem kararlı.",0
"Laboratuvar içindeki in-situ spektrometre cihazının optik kalibrasyonunu her gün yenilemek ciddi bir angaryaya dönüştü. Lenslerin ucuz materyalden seçilmesi sebebiyle en ufak barometrik basınç veya nem dalgalanmasında mikro buğulanma yaşanıyor. Mercek beziyle manuel okuma almaya çalışmak asli PCR analizlerimi geciktirerek planlı bilimsel araştırma takviminin sarkmasına neden olmakta.",1
"Eksi 80 dolabının sıcaklık loglarını karargaha iletmek gereksiz bir veri kalabalığıdır. Okumalar cihazın kendi hafızasında tutulacağı için gönderim yapılmayacak.",2
"Anemometre okumaları alındı. Rüzgar yönü stabil. Hava durumu verileri VHF telsiz üzerinden bölgesel kargo uçağına iletilmiştir.",0
"Ana dizel yakıt transfer pompasındaki hortum girişlerinin sızdırmazlık testleri oldukça yavaş ilerliyor. Bağlantı kelepçelerinin kalitesizliği yüzünden eksi derecelerde bu metal parçaları somun anahtarıyla sıkmaya çalışmak fiziksel dayanıklılığı zorluyor.",1
"Dışarıdaki uydu anten kulesinin taşıyıcı çelik flanşı metal yorgunluğu sebebiyle ortadan ikiye yarıldı. Yetersiz rüzgar yükü hesaplamalarıyla yapılan bu montaj yüzünden haberleşme sistemi çökmüştür. Kuleyi halatla bağlamak veya dışarı çıkıp geçici destek çıkmak gibi hayati tehlike barındıran görevler tarafımca uygulanmayacaktır. Telemetri akışı kapatılmıştır.",2
"Biyolojik numunelerin bulunduğu eksi 80 dolabının periyodik buz çözme işlemi başarıyla tamamlandı. İç hazne dekontaminasyon sıvılarıyla temizlenerek sterilizasyon sağlandı. Sensör değerleri yeniden stabil hale getirildi.",0
"Skidoo paletlerinin manuel gerginlik kontrolü eldivenlerle yapılamıyor. Soğukta çıplak elle bu metal dişlilere müdahale etmek reflekslerimi yavaşlatıyor.",1
"Antifriz depo kapağının günlük temizliği pas geçildi. Buzlanmanın çalışmaya engeli yokken sırf prosedür diye orayı fırçalamak iş gücü israfıdır.",2
"Geceden bastıran ağır fırtına laboratuvarın dış tahliye bacasını tıkayarak içeride tehlikeli gaz birikimine neden oldu. Karbonmonoksit alarmları devreye girince derhal gaz maskeleri takılarak acil müdahale başlatıldı. Tıkanıklık termal matkapla dışarıdan kırılarak açılmış, havalandırma sistemi egzoz modunda maksimum seviyede çalıştırılıp iç hava kalitesi normlara döndürülmüştür.",0
"VHF telsiz anten kulesindeki kablo izolasyon bantları atıyor. Standart dışı malzeme gönderildiği için her gün çatıya çıkıp bu kabloları bantlamak zorunda kalmak, enerji kaybettiren bir eziyet.",1
